geometry_id,density,seed,mask_variant,method,status,output_path,error,parameters,common_f1,common_precision,common_recall,fragment_recovery_rate,pixel_recovery_rate,representation_dependent_pixel_recovery_rate
cov20/synth_0006,20,20262807,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0006\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.13831398283695104,0.07470010905125408,0.9319727891156463,0.15,0.0,0.0
cov20/synth_0006,20,20262807,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0006\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7461538461538462,0.8584070796460177,0.6598639455782312,0.7,0.0,0.0
cov20/synth_0006,20,20262807,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0006\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8507936507936509,0.7976190476190477,0.9115646258503401,0.9,0.3,0.3
cov20/synth_0007,20,20262808,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0007\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.11111111111111112,0.059395801331285206,0.8592592592592593,0.0,0.0,0.0
cov20/synth_0007,20,20262808,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0007\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.6227106227106227,0.6159420289855072,0.6296296296296297,0.47058823529411764,0.0,0.0
cov20/synth_0007,20,20262808,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0007\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7340823970037453,0.7424242424242424,0.725925925925926,0.5294117647058824,0.5882352941176471,0.5882352941176471
cov20/synth_0008,20,20262809,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0008\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.09435707678075855,0.04965920155793573,0.9444444444444444,0.08695652173913043,0.0,0.0
cov20/synth_0008,20,20262809,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0008\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8438538205980067,0.9136690647482014,0.7839506172839507,0.8695652173913043,0.0,0.0
cov20/synth_0008,20,20262809,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0008\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8814589665653495,0.8682634730538922,0.8950617283950617,0.7391304347826086,0.4166666666666667,0.4166666666666667
cov20/synth_0009,20,20262810,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0009\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.1309090909090909,0.07046070460704607,0.9212598425196851,0.21052631578947367,0.0,0.0
cov20/synth_0009,20,20262810,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0009\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.6018957345971564,0.7559523809523809,0.5,0.5263157894736842,0.0,0.0
cov20/synth_0009,20,20262810,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0009\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.674698795180723,0.6885245901639344,0.6614173228346457,0.5789473684210527,0.3157894736842105,0.3157894736842105
cov20/synth_0010,20,20262811,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0010\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.19693654266958424,0.11642949547218628,0.6382978723404256,0.16666666666666666,0.0,0.0
cov20/synth_0010,20,20262811,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0010\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.833922261484099,0.8309859154929577,0.8368794326241135,0.7,0.0,0.0
cov20/synth_0010,20,20262811,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0010\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7341772151898734,0.6628571428571428,0.8226950354609929,0.5666666666666667,0.41935483870967744,0.41935483870967744
cov20/synth_0011,20,20262812,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0011\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.18698224852071005,0.1083676268861454,0.6810344827586207,0.13043478260869565,0.0,0.0
cov20/synth_0011,20,20262812,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0011\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8097560975609756,0.9325842696629213,0.7155172413793104,0.8260869565217391,0.0,0.0
cov20/synth_0011,20,20262812,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0011\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.763157894736842,0.7767857142857143,0.75,0.6956521739130435,0.391304347826087,0.391304347826087
cov20/synth_0012,20,20262813,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0012\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.14214285714285715,0.07785602503912363,0.8155737704918032,0.04,0.0,0.0
cov20/synth_0012,20,20262813,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0012\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.9090909090909091,0.963302752293578,0.860655737704918,0.84,0.0,0.0
cov20/synth_0012,20,20262813,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0012\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7028112449799195,0.6889763779527559,0.7172131147540983,0.64,0.44,0.44
cov20/synth_0013,20,20262814,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0013\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.1962264150943396,0.1134133042529989,0.7272727272727273,0.20833333333333334,0.0,0.0
cov20/synth_0013,20,20262814,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0013\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7698412698412699,0.8899082568807339,0.6783216783216783,0.7083333333333334,0.0,0.0
cov20/synth_0013,20,20262814,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0013\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8677966101694916,0.8421052631578947,0.8951048951048951,0.7083333333333334,0.3333333333333333,0.3333333333333333
cov20/synth_0014,20,20262815,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0014\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.14483047300125576,0.07813911472448058,0.9885714285714285,0.22727272727272727,0.0,0.0
cov20/synth_0014,20,20262815,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0014\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.6184210526315789,0.7286821705426356,0.5371428571428571,0.6363636363636364,0.0,0.0
cov20/synth_0014,20,20262815,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0014\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8,0.7888888888888889,0.8114285714285714,0.6818181818181818,0.4090909090909091,0.4090909090909091
cov20/synth_0015,20,20262816,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0015\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.21033868092691624,0.1257995735607676,0.6413043478260869,0.2631578947368421,0.0,0.0
cov20/synth_0015,20,20262816,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0015\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.9333333333333332,0.9545454545454546,0.9130434782608695,1.0,0.0,0.0
cov20/synth_0015,20,20262816,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0015\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8481675392670157,0.8181818181818182,0.8804347826086957,0.7368421052631579,0.5,0.5
cov20/synth_0016,20,20262817,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0016\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.11813471502590675,0.06340378197997776,0.8636363636363636,0.25,0.0,0.0
cov20/synth_0016,20,20262817,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0016\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.6827309236947792,0.7264957264957265,0.6439393939393939,0.5416666666666666,0.0,0.0
