"set","mask_variant","cov","density","scene","status","error","f1","precision","recall","fragment_recovery_recovery_rate","adjusted_rand_index","vi_split_bits","vi_merge_bits","vi_total_bits","n_common_fragments","n_gt_groups","n_pred_groups"
"testcmp10","degraded","cov20","20","synth_0000","ok","","0.8245614035087719","0.8703703703703703","0.7833333333333333","0.85","0.8142823559196368","0.22625699975857239","0.18036265918337843","0.40661965894195085","79","20","20"
"testcmp10","degraded","cov20","20","synth_0001","ok","","0.9968847352024921","1.0","0.9937888198757764","0.9565217391304348","0.9967343834017496","0.023809523809523808","0.0","0.023809523809523808","84","23","26"
"testcmp10","degraded","cov20","20","synth_0002","ok","","0.9029126213592235","0.9029126213592233","0.9029126213592233","0.7619047619047619","0.8984543066022015","0.14348021057811777","0.13782282614966573","0.2813030367277835","69","21","22"
"testcmp10","degraded","cov20","20","synth_0003","ok","","0.7764127764127763","0.8315789473684211","0.728110599078341","0.7","0.7629603146228101","0.41027658077571194","0.27464679962289884","0.6849233803986108","85","20","23"
"testcmp10","degraded","cov20","20","synth_0004","ok","","0.9454545454545454","1.0","0.896551724137931","1.0","0.9426673895364598","0.08628561354325609","0.0","0.08628561354325609","48","20","22"
"testcmp10","degraded","cov20","20","synth_0005","ok","","0.8653846153846154","0.9183673469387755","0.8181818181818182","0.875","0.8605279011133671","0.21137835786604384","0.11470102054989219","0.32607937841593604","95","32","34"
"testcmp10","degraded","cov20","20","synth_0006","ok","","0.8590604026845637","0.8827586206896552","0.8366013071895425","0.8333333333333334","0.8508378389750277","0.22999391903586316","0.140410263858962","0.37040418289482513","74","18","21"
"testcmp10","degraded","cov20","20","synth_0007","ok","","0.9459459459459458","0.9333333333333333","0.958904109589041","0.9615384615384616","0.9440745167226301","0.0709684701815443","0.058210963132688434","0.12917943331423273","67","26","28"
"testcmp10","degraded","cov20","20","synth_0008","ok","","0.8913043478260869","0.8913043478260869","0.8913043478260869","1.0","0.8867297824098015","0.11399044006636916","0.11399044006636916","0.22798088013273832","68","22","24"
"testcmp10","degraded","cov20","20","synth_0009","ok","","0.9355742296918768","0.943502824858757","0.9277777777777778","1.0","0.9328915855543248","0.0893707894281375","0.08159315710013791","0.1709639465282754","95","24","28"
"testcmp10","degraded","cov30","30","synth_0000","ok","","0.8356643356643356","0.8241379310344827","0.8475177304964538","0.7","0.8296721817277117","0.25440827278765643","0.2509052961024483","0.5053135688901047","128","30","33"
"testcmp10","degraded","cov30","30","synth_0001","ok","","0.7929824561403508","0.7985865724381626","0.7874564459930313","0.75","0.7877106287343949","0.2983041710874193","0.2588215089604392","0.5571256800478586","152","44","45"
"testcmp10","degraded","cov30","30","synth_0002","ok","","0.8629213483146068","0.8629213483146068","0.8629213483146068","0.8888888888888888","0.8586439484127766","0.2225428252374015","0.18386214105894963","0.40640496629635114","172","36","39"
"testcmp10","degraded","cov30","30","synth_0003","ok","","0.8984509466437177","0.9222614840989399","0.8758389261744967","0.8055555555555556","0.8955045905016558","0.21570412492097424","0.13346722881162237","0.3491713537325966","144","36","39"
"testcmp10","degraded","cov30","30","synth_0004","ok","","0.8652173913043478","0.8291666666666667","0.9045454545454545","0.8108108108108109","0.861423430627749","0.12697105712828133","0.21205997303438767","0.339031030162669","130","37","37"
"testcmp10","degraded","cov30","30","synth_0005","ok","","0.8778280542986425","0.8609467455621301","0.8953846153846153","0.8","0.8737060868072262","0.14942703184790662","0.21337980826557554","0.3628068401134822","143","35","35"
"testcmp10","degraded","cov30","30","synth_0006","ok","","0.9304347826086956","0.9145299145299145","0.9469026548672567","0.85","0.9284959916016519","0.0931037309514985","0.13419068692403535","0.22729441787553384","160","40","39"
"testcmp10","degraded","cov30","30","synth_0007","ok","","0.7703927492447129","0.7566765578635015","0.7846153846153846","0.6857142857142857","0.7629835214533413","0.29966678030488425","0.3139021577965899","0.6135689381014742","146","35","36"
"testcmp10","degraded","cov30","30","synth_0008","ok","","0.8837876614060258","0.8825214899713467","0.8850574712643678","0.9090909090909091","0.8798868750987169","0.20921692178342494","0.18987668895075133","0.39909361073417626","147","33","34"
"testcmp10","degraded","cov30","30","synth_0009","ok","","0.8556291390728477","0.834625322997416","0.8777173913043478","0.9459459459459459","0.8511587967155876","0.19432680248767764","0.24238647524426618","0.4367132777319438","159","37","36"
"testcmp10","degraded","cov40","40","synth_0000","ok","","0.8401976935749588","0.804416403785489","0.8793103448275862","0.8620689655172413","0.8369463946396355","0.15184413489552126","0.2149690286981405","0.3668131635936618","247","58","58"
"testcmp10","degraded","cov40","40","synth_0001","ok","","0.8141592920353982","0.8329979879275654","0.7961538461538461","0.7659574468085106","0.8102990422007778","0.28592873791522555","0.1972763920636623","0.48320512997888787","224","47","52"
"testcmp10","degraded","cov40","40","synth_0002","ok","","0.8929889298892989","0.8976261127596439","0.8883994126284875","0.9056603773584906","0.8905482067091236","0.17123612439350783","0.1663987611576034","0.3376348855511112","247","53","53"
"testcmp10","degraded","cov40","40","synth_0003","ok","","0.8087091757387248","0.8414239482200647","0.7784431137724551","0.6274509803921569","0.8045794410557929","0.3727728382103427","0.26515559682176665","0.6379284350321093","247","51","59"
"testcmp10","degraded","cov40","40","synth_0004","ok","","0.9011595803423523","0.901657458563536","0.9006622516556292","0.8958333333333334","0.8986511379028973","0.1935206912567286","0.1889312157787377","0.3824519070354663","271","48","48"
"testcmp10","degraded","cov40","40","synth_0005","ok","","0.6563421828908554","0.6681681681681682","0.644927536231884","0.6078431372549019","0.6479524112944604","0.5344640781343126","0.543710490291212","1.0781745684255246","239","51","50"
"testcmp10","degraded","cov40","40","synth_0006","ok","","0.8129770992366413","0.8385826771653543","0.7888888888888889","0.75","0.8085801673682338","0.2814777664703276","0.23192863579785536","0.5134064022681829","214","48","50"
"testcmp10","degraded","cov40","40","synth_0007","ok","","0.7520476545048399","0.7605421686746988","0.7437407952871871","0.7083333333333334","0.745618292269784","0.4070619398221815","0.3760848228269263","0.7831467626491078","231","48","49"
"testcmp10","degraded","cov40","40","synth_0008","ok","","0.7800891530460625","0.7425742574257426","0.8215962441314554","0.7592592592592593","0.7751613013148093","0.2759209690825325","0.32722216892520545","0.6031431380077379","248","54","56"
"testcmp10","degraded","cov40","40","synth_0009","ok","","0.8161708619374523","0.8385579937304075","0.7949479940564635","0.6923076923076923","0.8119106724930464","0.37156643310511905","0.2564627451586192","0.6280291782637383","241","52","60"
"testcmp10","degraded","cov50","50","synth_0000","ok","","0.8152927120669056","0.8050967437470505","0.8257502420135527","0.7313432835820896","0.8117799213942578","0.3357538052925354","0.35849508262581453","0.6942488879183499","474","67","67"
"testcmp10","degraded","cov50","50","synth_0001","ok","","0.8369462770970783","0.8451776649746193","0.8288736776602365","0.7638888888888888","0.834383295268861","0.31760357645101467","0.2768212282621696","0.5944248047131843","454","72","76"
"testcmp10","degraded","cov50","50","synth_0002","ok","","0.8558067030397505","0.8305597579425114","0.882636655948553","0.8405797101449275","0.8532756020314798","0.2077602519561828","0.21348526618177155","0.42124551813795436","386","69","73"
"testcmp10","degraded","cov50","50","synth_0003","ok","","0.6859358477264716","0.6989942528735632","0.673356401384083","0.5657894736842105","0.680045825945879","0.5078964662503088","0.5367755531927265","1.0446720194430354","393","76","74"
"testcmp10","degraded","cov50","50","synth_0004","ok","","0.8266759291420631","0.8035111411208643","0.8512160228898427","0.7166666666666667","0.8230662200830802","0.3126547265869057","0.3659198960516855","0.6785746226385911","376","60","61"
"testcmp10","degraded","cov50","50","synth_0005","ok","","0.7645083932853717","0.7707930367504836","0.758325404376784","0.7027027027027027","0.7606252987759713","0.3555719155218265","0.3296837078507119","0.6852556233725384","359","74","75"
"testcmp10","degraded","cov50","50","synth_0006","ok","","0.8683247988295537","0.8792592592592593","0.8576589595375722","0.8181818181818182","0.8660762489109901","0.27390060751272266","0.23495866081213607","0.5088592683248587","404","66","69"
